frame,baseline_psnr,baseline_ssim,baseline_mse,finetuned_psnr,finetuned_ssim,finetuned_mse
triplet_00093,33.501854083027844,0.9578139692490049,29.033203125,35.451212937550046,0.9673177772742914,18.5335693359375
triplet_00094,34.3748595024594,0.9452852464927645,23.7462158203125,36.45077985089347,0.9573534994886796,14.72320556640625
triplet_00095,33.41108278515836,0.9052413660062146,29.646408081054688,34.34771307051093,0.9220656869955287,23.895111083984375
triplet_00096,36.86395826274888,0.9650479194077476,13.387039184570312,38.95290256275896,0.9724162138800255,8.275421142578125
triplet_00097,34.39776710488643,0.9057429675848631,23.621292114257812,35.46469228044097,0.9261363847784536,18.47613525390625
triplet_00098,42.73123292788044,0.9833491243522077,3.4670257568359375,43.413110659196235,0.9863227894320568,2.9632568359375
triplet_00099,41.375322569320225,0.9567520746487311,4.73748779296875,42.07783668202693,0.9689506793929026,4.0299224853515625
triplet_00100,31.639167928540246,0.8619558790073222,44.58241271972656,32.71477085886324,0.8917995588770551,34.80192565917969
triplet_00101,33.01426041975881,0.915165605187834,32.48286437988281,33.90402012311885,0.9292613563844979,26.46539306640625
triplet_00102,27.003582094901326,0.8740893329403919,129.6349639892578,28.86960204735813,0.9087104325196154,84.3568115234375
triplet_00103,29.56985802896177,0.8902725456617014,71.79505920410156,31.251609337557973,0.9169342364268915,48.743804931640625
triplet_00104,29.03617312756222,0.8812385388046435,81.1826171875,30.730223704245386,0.9076352489048748,54.96142578125
triplet_00105,29.217754055982578,0.8670016939020733,77.85830688476562,30.59309197473294,0.8887686700548288,56.72456359863281
triplet_00106,30.175173796748567,0.9017711493398419,62.45439147949219,31.231651318996807,0.9198750595395401,48.96832275390625
triplet_00107,30.973911395501336,0.8547934610386347,51.96240234375,32.73864393835023,0.9001830075897379,34.61114501953125
triplet_00108,30.833274200546178,0.8736123396047575,53.672637939453125,32.6390928957301,0.9061031879999089,35.41368103027344
triplet_00109,30.947508764345177,0.8517630562891584,52.279266357421875,32.02088951256003,0.8738168603892127,40.83113098144531
triplet_00110,29.163673042280685,0.8516016816026487,78.83390808105469,30.361188147403652,0.8728418352830943,59.83586120605469
triplet_00111,31.74734022732526,0.9113245917187395,43.485687255859375,33.061435826159624,0.9307350344715354,32.131927490234375
triplet_00112,40.89512511088265,0.9679564060150851,5.2913665771484375,41.50136154195761,0.9738247552412613,4.6019744873046875
triplet_00113,28.266193779108647,0.8759283688800763,96.93061828613281,30.072080211189345,0.9070774235946891,63.954681396484375
triplet_00114,36.18666554850785,0.9472697683131733,15.646377563476562,36.78227144809799,0.952518760098135,13.641220092773438
triplet_00115,34.20921182595555,0.967275140893132,24.66943359375,35.62986534855405,0.9735519431015479,17.786636352539062
triplet_00116,30.806334671136327,0.8678045043566329,54.00660705566406,32.63350143994637,0.9061878465944123,35.45930480957031
triplet_00117,33.83582486832505,0.926788116253707,26.884246826171875,34.370784232280315,0.9334032785671564,23.768508911132812
triplet_00118,34.61406195431924,0.9547543583855842,22.473678588867188,35.19568568433326,0.9614553432061121,19.656753540039062
triplet_00119,28.415240678299533,0.8884784157152932,93.66046142578125,30.44621931819048,0.9208239441747426,58.67572021484375
